language,encoder,maxlen,R10
vi,"e5-small (C1, no-prefix)",128,40.11
vi,"e5-small (C1, no-prefix)",256,40.11
zh,"e5-small (C1, no-prefix)",64,38.64
zh,"e5-small (C1, no-prefix)",128,38.63
zh,"e5-small (C1, no-prefix)",256,38.63
ar,MiniLM-L12-v2,64,56.77
ar,MiniLM-L12-v2,128,56.77
ar,MiniLM-L12-v2,256,56.77
bn,MiniLM-L12-v2,64,10.64
bn,MiniLM-L12-v2,128,10.64
bn,MiniLM-L12-v2,256,10.64
cs,MiniLM-L12-v2,64,58.0
cs,MiniLM-L12-v2,128,58.0
cs,MiniLM-L12-v2,256,58.0
da,MiniLM-L12-v2,64,64.59
da,MiniLM-L12-v2,128,64.59
da,MiniLM-L12-v2,256,64.59
de,MiniLM-L12-v2,64,66.55
de,MiniLM-L12-v2,128,66.55
de,MiniLM-L12-v2,256,66.55
el,MiniLM-L12-v2,64,55.52
el,MiniLM-L12-v2,128,55.52
el,MiniLM-L12-v2,256,55.52
en,MiniLM-L12-v2,64,68.69
en,MiniLM-L12-v2,128,68.69
en,MiniLM-L12-v2,256,68.69
es,MiniLM-L12-v2,64,60.3
es,MiniLM-L12-v2,128,60.3
es,MiniLM-L12-v2,256,60.3
fa,MiniLM-L12-v2,64,62.77
fa,MiniLM-L12-v2,128,62.76
fa,MiniLM-L12-v2,256,62.76
fi,MiniLM-L12-v2,64,60.5
fi,MiniLM-L12-v2,128,60.53
fi,MiniLM-L12-v2,256,60.53
fil,MiniLM-L12-v2,64,8.82
fil,MiniLM-L12-v2,128,8.82
fil,MiniLM-L12-v2,256,8.82
fr,MiniLM-L12-v2,64,66.75
fr,MiniLM-L12-v2,128,66.75
fr,MiniLM-L12-v2,256,66.75
he,MiniLM-L12-v2,64,64.07
he,MiniLM-L12-v2,128,64.15
he,MiniLM-L12-v2,256,64.15
hi,MiniLM-L12-v2,64,52.36
hi,MiniLM-L12-v2,128,52.36
hi,MiniLM-L12-v2,256,52.36
hr,MiniLM-L12-v2,64,64.35
hr,MiniLM-L12-v2,128,64.35
hr,MiniLM-L12-v2,256,64.35
hu,MiniLM-L12-v2,64,59.27
hu,MiniLM-L12-v2,128,59.24
hu,MiniLM-L12-v2,256,59.24
id,MiniLM-L12-v2,64,73.24
id,MiniLM-L12-v2,128,73.24
