model,preproc,lang,R10,mAP10
so400m text tower,lowercased(FIX),fi,74.67,53.24
so400m text tower,orig-case(buggy),fi,61.33,
"offline e5-small (C1, no-prefix)",native(1bit head),fi,20.51,
offline MiniLM-L12-v2,native(1bit head),fi,60.5,
offline e5-base (query:),native(1bit head),fi,39.12,
server so400m+ft113,"orig-case(buggy,1bit)",fi,58.02,
so400m text tower,lowercased(FIX),fil,42.34,24.76
so400m text tower,orig-case(buggy),fil,33.25,
"offline e5-small (C1, no-prefix)",native(1bit head),fil,25.07,
offline MiniLM-L12-v2,native(1bit head),fil,8.82,
offline e5-base (query:),native(1bit head),fil,29.47,
server so400m+ft113,"orig-case(buggy,1bit)",fil,31.96,
so400m text tower,lowercased(FIX),fr,96.06,82.21
so400m text tower,orig-case(buggy),fr,92.58,
"offline e5-small (C1, no-prefix)",native(1bit head),fr,49.93,
offline MiniLM-L12-v2,native(1bit head),fr,66.75,
offline e5-base (query:),native(1bit head),fr,57.05,
server so400m+ft113,"orig-case(buggy,1bit)",fr,86.53,
so400m text tower,lowercased(FIX),he,80.49,58.66
so400m text tower,orig-case(buggy),he,80.44,
"offline e5-small (C1, no-prefix)",native(1bit head),he,24.54,
offline MiniLM-L12-v2,native(1bit head),he,64.07,
offline e5-base (query:),native(1bit head),he,36.88,
server so400m+ft113,"orig-case(buggy,1bit)",he,74.1,
so400m text tower,lowercased(FIX),hi,40.9,23.11
so400m text tower,orig-case(buggy),hi,40.9,
"offline e5-small (C1, no-prefix)",native(1bit head),hi,30.48,
offline MiniLM-L12-v2,native(1bit head),hi,52.36,
offline e5-base (query:),native(1bit head),hi,29.98,
server so400m+ft113,"orig-case(buggy,1bit)",hi,43.38,
so400m text tower,lowercased(FIX),hr,80.96,60.8
so400m text tower,orig-case(buggy),hr,68.08,
"offline e5-small (C1, no-prefix)",native(1bit head),hr,34.0,
offline MiniLM-L12-v2,native(1bit head),hr,64.35,
offline e5-base (query:),native(1bit head),hr,43.06,
server so400m+ft113,"orig-case(buggy,1bit)",hr,63.06,
so400m text tower,lowercased(FIX),hu,83.45,63.7
so400m text tower,orig-case(buggy),hu,71.72,
"offline e5-small (C1, no-prefix)",native(1bit head),hu,23.32,
offline MiniLM-L12-v2,native(1bit head),hu,59.27,
offline e5-base (query:),native(1bit head),hu,44.07,
server so400m+ft113,"orig-case(buggy,1bit)",hu,64.88,
so400m text tower,lowercased(FIX),id,95.85,80.53
so400m text tower,orig-case(buggy),id,90.4,
"offline e5-small (C1, no-prefix)",native(1bit head),id,43.43,
offline MiniLM-L12-v2,native(1bit head),id,73.24,
