language,encoder,family,n_captions,n_images,R1,R5,R10
sv,server (so400m+ft113),SigLIP2-so400m,7273,3600,41.91,66.9,75.69
sv,"e5-small (C1, no-prefix)",e5/XLM-R,7273,3600,11.76,27.58,37.21
sv,MiniLM-L12-v2,paraphrase/XLM-R,7273,3600,28.46,51.42,62.19
sv,e5-base (query:),e5/XLM-R,7273,3600,18.45,39.93,51.08
sw,so400m-float (ceiling),SigLIP2-so400m,7046,3600,5.02,11.2,14.62
sw,server (so400m+ft113),SigLIP2-so400m,7046,3600,3.62,9.72,13.87
sw,"e5-small (C1, no-prefix)",e5/XLM-R,7046,3600,3.6,11.16,16.43
sw,MiniLM-L12-v2,paraphrase/XLM-R,7046,3600,0.5,2.44,3.8
sw,e5-base (query:),e5/XLM-R,7046,3600,4.88,13.74,20.38
te,so400m-float (ceiling),SigLIP2-so400m,7200,3600,0.81,3.07,4.6
te,server (so400m+ft113),SigLIP2-so400m,7200,3600,1.17,3.83,6.17
te,"e5-small (C1, no-prefix)",e5/XLM-R,7200,3600,6.76,18.29,26.29
te,MiniLM-L12-v2,paraphrase/XLM-R,7200,3600,2.61,8.28,12.67
te,e5-base (query:),e5/XLM-R,7200,3600,7.99,20.6,28.39
th,so400m-float (ceiling),SigLIP2-so400m,7200,3600,27.18,50.64,60.04
th,server (so400m+ft113),SigLIP2-so400m,7200,3600,23.03,46.08,57.46
th,"e5-small (C1, no-prefix)",e5/XLM-R,7200,3600,12.04,28.99,39.44
th,MiniLM-L12-v2,paraphrase/XLM-R,7200,3600,31.15,58.25,69.47
th,e5-base (query:),e5/XLM-R,7200,3600,17.12,37.62,48.35
tr,so400m-float (ceiling),SigLIP2-so400m,7233,3600,47.5,71.87,80.02
tr,server (so400m+ft113),SigLIP2-so400m,7233,3600,37.65,63.69,73.47
tr,"e5-small (C1, no-prefix)",e5/XLM-R,7233,3600,8.45,21.68,29.7
tr,MiniLM-L12-v2,paraphrase/XLM-R,7233,3600,26.14,50.77,61.27
tr,e5-base (query:),e5/XLM-R,7233,3600,14.57,33.24,43.63
uk,so400m-float (ceiling),SigLIP2-so400m,7215,3600,46.58,69.81,77.51
uk,server (so400m+ft113),SigLIP2-so400m,7215,3600,35.99,61.55,71.19
uk,"e5-small (C1, no-prefix)",e5/XLM-R,7215,3600,8.87,22.76,31.31
uk,MiniLM-L12-v2,paraphrase/XLM-R,7215,3600,29.26,53.17,63.62
uk,e5-base (query:),e5/XLM-R,7215,3600,17.19,36.13,46.87
vi,so400m-float (ceiling),SigLIP2-so400m,7350,3600,62.97,85.18,90.97
vi,server (so400m+ft113),SigLIP2-so400m,7350,3600,52.76,79.24,86.99
vi,"e5-small (C1, no-prefix)",e5/XLM-R,7350,3600,12.82,29.89,40.11
vi,MiniLM-L12-v2,paraphrase/XLM-R,7350,3600,33.84,60.11,70.69
vi,e5-base (query:),e5/XLM-R,7350,3600,21.28,44.76,56.59
zh,so400m-float (ceiling),SigLIP2-so400m,7174,3600,50.66,74.39,81.92
zh,server (so400m+ft113),SigLIP2-so400m,7174,3600,40.06,66.53,76.3
zh,"e5-small (C1, no-prefix)",e5/XLM-R,7174,3600,11.86,28.53,38.64
zh,MiniLM-L12-v2,paraphrase/XLM-R,7174,3600,33.25,60.23,71.41
zh,e5-base (query:),e5/XLM-R,7174,3600,17.19,38.71,50.56
