source,rank,singular_value,var_frac
ceiling,94,2.770977,0.002426
ceiling,95,2.748438,0.002387
ceiling,96,2.736087,0.002366
ceiling,97,2.709231,0.002319
ceiling,98,2.703371,0.002309
ceiling,99,2.69642,0.002297
ceiling,100,2.668931,0.002251
ceiling,101,2.659208,0.002234
ceiling,102,2.636414,0.002196
ceiling,103,2.619936,0.002169
ceiling,104,2.610933,0.002154
ceiling,105,2.59898,0.002134
ceiling,106,2.587022,0.002115
ceiling,107,2.565125,0.002079
ceiling,108,2.552745,0.002059
ceiling,109,2.535376,0.002031
ceiling,110,2.517,0.002002
ceiling,111,2.510633,0.001992
ceiling,112,2.5013,0.001977
ceiling,113,2.494713,0.001967
ceiling,114,2.479139,0.001942
ceiling,115,2.466203,0.001922
ceiling,116,2.45135,0.001899
ceiling,117,2.442549,0.001885
ceiling,118,2.431786,0.001869
ceiling,119,2.413944,0.001841
ceiling,120,2.399088,0.001819
ceiling,121,2.37794,0.001787
ceiling,122,2.373891,0.001781
ceiling,123,2.363528,0.001765
ceiling,124,2.340783,0.001731
ceiling,125,2.339876,0.00173
ceiling,126,2.327629,0.001712
ceiling,127,2.321302,0.001703
ceiling,128,2.30013,0.001672
ceiling,129,2.292781,0.001661
ceiling,130,2.283098,0.001647
ceiling,131,2.266717,0.001624
ceiling,132,2.257224,0.00161
ceiling,133,2.250895,0.001601
ceiling,134,2.243231,0.00159
ceiling,135,2.227336,0.001568
ceiling,136,2.221573,0.00156
ceiling,137,2.210688,0.001544
ceiling,138,2.190118,0.001516
ceiling,139,2.17811,0.001499
ceiling,140,2.166911,0.001484
ceiling,141,2.163744,0.001479
ceiling,142,2.147045,0.001457
ceiling,143,2.141468,0.001449
ceiling,144,2.127348,0.00143
ceiling,145,2.123997,0.001426
ceiling,146,2.116083,0.001415
ceiling,147,2.105098,0.0014
ceiling,148,2.092515,0.001384
ceiling,149,2.091874,0.001383
ceiling,150,2.077409,0.001364
ceiling,151,2.076317,0.001362
ceiling,152,2.060986,0.001342
ceiling,153,2.051088,0.001329
ceiling,154,2.040624,0.001316
ceiling,155,2.033317,0.001306
ceiling,156,2.019093,0.001288
ceiling,157,2.013439,0.001281
ceiling,158,2.006627,0.001272
ceiling,159,2.002482,0.001267
ceiling,160,1.99016,0.001252
ceiling,161,1.98579,0.001246
ceiling,162,1.975963,0.001234
ceiling,163,1.95665,0.00121
ceiling,164,1.955776,0.001209
ceiling,165,1.945224,0.001196
ceiling,166,1.941443,0.001191
ceiling,167,1.926176,0.001172
ceiling,168,1.920281,0.001165
ceiling,169,1.917656,0.001162
ceiling,170,1.908313,0.001151
ceiling,171,1.89802,0.001138
ceiling,172,1.882672,0.00112
ceiling,173,1.87903,0.001116
ceiling,174,1.873769,0.001109
ceiling,175,1.863021,0.001097
ceiling,176,1.857059,0.00109
ceiling,177,1.847672,0.001079
ceiling,178,1.844535,0.001075
ceiling,179,1.840303,0.00107
ceiling,180,1.830781,0.001059
ceiling,181,1.826225,0.001054
ceiling,182,1.813566,0.001039
ceiling,183,1.806188,0.001031
ceiling,184,1.801302,0.001025
ceiling,185,1.784836,0.001007
ceiling,186,1.778709,0.001
ceiling,187,1.770432,0.00099
ceiling,188,1.759057,0.000978
ceiling,189,1.752954,0.000971
ceiling,190,1.747008,0.000964
ceiling,191,1.737396,0.000954
ceiling,192,1.73385,0.00095
ceiling,193,1.72239,0.000937
ceiling,194,1.719057,0.000934
ceiling,195,1.714988,0.000929
ceiling,196,1.708802,0.000923
ceiling,197,1.70295,0.000916
ceiling,198,1.698261,0.000911
ceiling,199,1.688139,0.000901
ceiling,-1,76.684,-1
distillation,0,15.170375,0.085063
distillation,1,12.264276,0.055595
distillation,2,11.263634,0.046893
