path,success,hmargin,diralign
ceiling,1,-26,0.27251
ceiling,1,-36,0.3099
ceiling,1,13,0.33196
ceiling,1,13,0.28247
ceiling,1,36,0.25246
ceiling,1,-59,0.25879
ceiling,1,-15,0.2681
ceiling,1,-19,0.33845
ceiling,1,37,0.26883
ceiling,1,56,0.29283
ceiling,1,16,0.32433
ceiling,1,-13,0.28203
ceiling,1,74,0.3232
ceiling,1,14,0.32899
ceiling,1,-38,0.26085
ceiling,1,36,0.28515
ceiling,0,-71,0.22714
ceiling,0,-82,0.20512
ceiling,1,-36,0.26432
ceiling,1,46,0.35196
ceiling,1,7,0.2767
ceiling,1,62,0.35462
ceiling,1,-11,0.29185
ceiling,1,-18,0.3082
ceiling,1,37,0.30367
ceiling,1,26,0.25829
ceiling,1,75,0.29972
ceiling,1,-39,0.24412
ceiling,1,-17,0.27526
ceiling,1,-15,0.25949
ceiling,1,-79,0.20149
ceiling,1,-40,0.25843
ceiling,1,40,0.30306
ceiling,1,23,0.23638
ceiling,1,4,0.31715
ceiling,1,-40,0.23898
ceiling,1,-31,0.30779
ceiling,1,-27,0.32143
ceiling,1,2,0.31811
ceiling,1,76,0.33943
ceiling,1,12,0.27816
ceiling,1,-57,0.21713
ceiling,1,86,0.34955
ceiling,1,-30,0.20712
ceiling,0,-40,0.27273
ceiling,1,-43,0.27162
ceiling,0,-44,0.21485
ceiling,1,36,0.32514
ceiling,1,43,0.30845
ceiling,1,16,0.24998
ceiling,1,16,0.35544
ceiling,1,4,0.36344
ceiling,1,-28,0.32119
ceiling,1,-31,0.25472
ceiling,1,-9,0.31601
ceiling,0,-84,0.16713
ceiling,1,63,0.33378
ceiling,1,-23,0.3123
ceiling,1,51,0.31604
ceiling,0,-69,0.22038
ceiling,0,-71,0.1748
ceiling,1,-49,0.19976
ceiling,1,27,0.31775
ceiling,1,16,0.31854
ceiling,1,63,0.30645
ceiling,0,-102,0.22162
ceiling,1,23,0.23315
ceiling,1,-19,0.33481
ceiling,1,-33,0.28547
ceiling,1,-36,0.29388
ceiling,1,-37,0.22625
ceiling,1,44,0.27694
ceiling,1,-40,0.26296
ceiling,0,-40,0.2487
ceiling,1,22,0.24428
ceiling,1,34,0.3554
ceiling,1,-55,0.27285
ceiling,1,-11,0.25072
ceiling,0,-167,-0.01972
ceiling,1,-26,0.31939
ceiling,0,-65,0.23788
ceiling,1,20,0.30874
ceiling,1,16,0.29519
ceiling,0,-168,0.10691
ceiling,0,-69,0.2304
ceiling,0,-48,0.22761
ceiling,1,7,0.32012
ceiling,1,-17,0.23443
ceiling,0,-53,0.22361
ceiling,1,-17,0.2577
ceiling,1,-4,0.30244
ceiling,0,-66,0.24015
ceiling,1,-10,0.31719
ceiling,1,57,0.2791
ceiling,1,10,0.24946
ceiling,0,-41,0.24497
ceiling,1,-21,0.27822
ceiling,1,-15,0.28367
ceiling,0,-114,0.00739
ceiling,1,-3,0.27589
ceiling,0,-98,0.20707
ceiling,1,33,0.29064
ceiling,1,12,0.25745
ceiling,1,-14,0.29375
ceiling,1,40,0.31039
ceiling,1,22,0.2919
ceiling,1,-35,0.21679
ceiling,1,10,0.35953
ceiling,1,40,0.30021
ceiling,1,45,0.32002
ceiling,1,-36,0.29331
ceiling,1,-49,0.26832
ceiling,1,32,0.31008
ceiling,1,-39,0.26096
ceiling,0,-105,0.21144
ceiling,0,-80,0.18207
ceiling,1,65,0.32665
ceiling,1,6,0.27231
ceiling,0,-84,0.14644
ceiling,0,-55,0.22062
ceiling,1,-16,0.22743
ceiling,1,-40,0.22295
ceiling,1,56,0.28369
ceiling,1,-8,0.30474
ceiling,1,-12,0.29341
ceiling,0,-68,0.27682
ceiling,1,-50,0.21916
ceiling,0,-195,0.10608
ceiling,1,25,0.29733
ceiling,1,16,0.27891
ceiling,1,54,0.32388
ceiling,1,-47,0.2778
ceiling,1,14,0.346
ceiling,1,26,0.3242
ceiling,0,-52,0.24392
ceiling,1,21,0.33131
ceiling,1,24,0.26888
ceiling,0,-54,0.15317
ceiling,1,8,0.28176
ceiling,1,6,0.27503
ceiling,1,25,0.24279
ceiling,1,19,0.29097
ceiling,1,-38,0.3032
ceiling,1,2,0.33315
ceiling,1,-45,0.2332
ceiling,0,-94,0.23834
ceiling,1,53,0.31008
ceiling,1,-8,0.25644
ceiling,1,-13,0.30594
ceiling,1,14,0.3342
ceiling,1,20,0.27143
ceiling,1,-42,0.24267
ceiling,0,-105,0.19718
ceiling,0,-53,0.24776
ceiling,1,17,0.2665
ceiling,1,-29,0.29638
ceiling,1,39,0.34029
