path,bit,flip_frac
distillation,391,0.1452
distillation,392,0.1572
distillation,393,0.1464
distillation,394,0.1082
distillation,395,0.111
distillation,396,0.1234
distillation,397,0.1138
distillation,398,0.1188
distillation,399,0.1398
distillation,400,0.1202
distillation,401,0.127
distillation,402,0.1158
distillation,403,0.1208
distillation,404,0.1436
distillation,405,0.1264
distillation,406,0.125
distillation,407,0.117
distillation,408,0.1288
distillation,409,0.1308
distillation,410,0.1396
distillation,411,0.1546
distillation,412,0.138
distillation,413,0.105
distillation,414,0.1566
distillation,415,0.1436
distillation,416,0.1184
distillation,417,0.1166
distillation,418,0.1438
distillation,419,0.1142
distillation,420,0.1384
distillation,421,0.1472
distillation,422,0.1028
distillation,423,0.152
distillation,424,0.1324
distillation,425,0.1176
distillation,426,0.1302
distillation,427,0.1448
distillation,428,0.1292
distillation,429,0.1372
distillation,430,0.1116
distillation,431,0.1252
distillation,432,0.1384
distillation,433,0.0964
distillation,434,0.106
distillation,435,0.124
distillation,436,0.1264
distillation,437,0.1346
distillation,438,0.1068
distillation,439,0.1188
distillation,440,0.1384
distillation,441,0.1374
distillation,442,0.1118
distillation,443,0.1242
distillation,444,0.1114
distillation,445,0.1324
distillation,446,0.1622
distillation,447,0.1314
distillation,448,0.1432
distillation,449,0.1254
distillation,450,0.143
distillation,451,0.0992
distillation,452,0.1032
distillation,453,0.1236
distillation,454,0.1348
distillation,455,0.0992
distillation,456,0.1368
distillation,457,0.1488
distillation,458,0.1168
distillation,459,0.1452
distillation,460,0.1412
distillation,461,0.1256
distillation,462,0.1366
distillation,463,0.1196
distillation,464,0.1136
distillation,465,0.1448
distillation,466,0.1448
distillation,467,0.1108
distillation,468,0.1414
distillation,469,0.1238
distillation,470,0.1294
distillation,471,0.1214
distillation,472,0.1132
distillation,473,0.135
distillation,474,0.1456
distillation,475,0.1564
distillation,476,0.1104
distillation,477,0.1364
distillation,478,0.1168
distillation,479,0.1466
distillation,480,0.1322
distillation,481,0.1302
distillation,482,0.1262
distillation,483,0.1398
distillation,484,0.1344
distillation,485,0.1308
distillation,486,0.1664
distillation,487,0.1338
